,equity,delta
2017-11-08,-19169.0,0.0
2017-11-09,-19169.0,0.0
2017-11-13,-19169.0,0.0
2017-11-14,-19169.0,0.0
2017-11-15,-19169.0,0.0
2017-11-16,-19169.0,0.0
2017-11-17,-19169.0,0.0
2017-11-20,-19172.0,-1.0
2017-11-21,-20009.5,-1.0
2017-11-22,-19997.0,-1.0
2017-11-27,-20234.5,-1.0
2017-11-28,-21409.5,-1.0
2017-11-29,-21372.0,-1.0
2017-11-30,-22409.5,-1.0
2017-12-01,-22234.5,-1.0
2017-12-04,-22200.0,0.0
2017-12-05,-22200.0,0.0
2017-12-06,-22200.0,0.0
2017-12-07,-22200.0,0.0
2017-12-08,-22200.0,0.0
2017-12-11,-22200.0,0.0
2017-12-12,-22200.0,0.0
2017-12-13,-22200.0,0.0
2017-12-14,-22200.0,0.0
2017-12-15,-22200.0,0.0
2017-12-18,-22200.0,0.0
2017-12-19,-22200.0,0.0
2017-12-20,-22200.0,0.0
2017-12-21,-22200.0,0.0
2017-12-22,-22200.0,0.0
2017-12-26,-22200.0,0.0
2017-12-27,-22200.0,0.0
2017-12-28,-22200.0,0.0
2017-12-29,-22200.0,0.0
2018-01-02,-22200.0,0.0
2018-01-03,-22200.0,0.0
2018-01-04,-22200.0,0.0
2018-01-05,-22200.0,0.0
2018-01-08,-22200.0,0.0
2018-01-09,-22200.0,0.0
2018-01-10,-22200.0,0.0
2018-01-11,-22200.0,0.0
2018-01-12,-22200.0,0.0
2018-01-16,-22200.0,0.0
2018-01-17,-22200.0,0.0
2018-01-18,-22200.0,0.0
2018-01-19,-22200.0,0.0
2018-01-22,-22200.0,0.0
2018-01-23,-22200.0,0.0
2018-01-24,-22200.0,0.0
2018-01-25,-22200.0,0.0
2018-01-26,-22200.0,0.0
2018-01-29,-22200.0,0.0
2018-01-30,-22200.0,0.0
2018-01-31,-22200.0,0.0
2018-02-01,-22200.0,0.0
2018-02-02,-22200.0,0.0
2018-02-05,-22203.0,-1.0
2018-02-06,-23153.0,-1.0
2018-02-07,-23490.5,-1.0
2018-02-08,-18678.0,-1.0
2018-02-09,-19603.0,-1.0
2018-02-12,-21290.5,-1.0
2018-02-13,-21781.0,0.0
2018-02-14,-21784.0,-1.0
2018-02-15,-23084.0,-1.0
2018-02-16,-23809.0,-1.0
2018-02-20,-22424.5,0.0
2018-02-21,-22424.5,0.0
2018-02-22,-22424.5,0.0
2018-02-23,-22424.5,0.0
2018-02-26,-22424.5,0.0
2018-02-27,-22424.5,0.0
2018-02-28,-22424.5,0.0
2018-03-01,-22427.5,-1.0
2018-03-02,-22965.0,-1.0
2018-03-05,-24930.5,0.0
2018-03-06,-24930.5,0.0
2018-03-07,-24930.5,0.0
2018-03-08,-24930.5,0.0
2018-03-09,-24930.5,0.0
2018-03-12,-24930.5,0.0
2018-03-13,-24930.5,0.0
2018-03-14,-24930.5,0.0
2018-03-15,-24930.5,0.0
2018-03-16,-24930.5,0.0
2018-03-19,-24933.5,-1.0
2018-03-20,-25336.5,0.0
2018-03-21,-25339.5,-1.0
2018-03-22,-21502.0,-1.0
2018-03-23,-18902.0,-1.0
2018-03-26,-22089.5,-1.0
2018-03-27,-19377.0,-1.0
2018-03-28,-19727.0,-1.0
2018-03-29,-21564.5,-1.0
2018-04-02,-17714.5,-1.0
2018-04-03,-19752.0,-1.0
2018-04-04,-21214.5,-1.0
2018-04-05,-22414.5,-1.0
2018-04-06,-19227.0,-1.0
2018-04-09,-20527.0,-1.0
2018-04-10,-22102.0,-1.0
2018-04-11,-21364.5,-1.0
2018-04-12,-22527.0,-1.0
2018-04-13,-21852.0,-1.0
2018-04-16,-23167.5,0.0
2018-04-17,-23167.5,0.0
2018-04-18,-23167.5,0.0
2018-04-19,-23167.5,0.0
2018-04-20,-23167.5,0.0
2018-04-23,-23167.5,0.0
2018-04-24,-23167.5,0.0
2018-04-25,-23167.5,0.0
2018-04-26,-23167.5,0.0
2018-04-27,-23167.5,0.0
2018-04-30,-23167.5,0.0
2018-05-01,-23167.5,0.0
2018-05-02,-23167.5,0.0
2018-05-03,-23167.5,0.0
2018-05-04,-23167.5,0.0
2018-05-07,-23167.5,0.0
2018-05-08,-23167.5,0.0
2018-05-09,-23167.5,0.0
2018-05-10,-23167.5,0.0
2018-05-11,-23167.5,0.0
2018-05-14,-23167.5,0.0
2018-05-15,-23167.5,0.0
2018-05-16,-23167.5,0.0
2018-05-17,-23167.5,0.0
2018-05-18,-23167.5,0.0
2018-05-21,-23167.5,0.0
2018-05-22,-23167.5,0.0
2018-05-23,-23167.5,0.0
2018-05-24,-23167.5,0.0
2018-05-25,-23167.5,0.0
2018-05-29,-23167.5,0.0
2018-05-30,-23167.5,0.0
2018-05-31,-23167.5,0.0
2018-06-01,-23167.5,0.0
2018-06-04,-23167.5,0.0
2018-06-05,-23167.5,0.0
2018-06-06,-23167.5,0.0
2018-06-07,-23167.5,0.0
2018-06-08,-23167.5,0.0
2018-06-11,-23167.5,0.0
2018-06-12,-23167.5,0.0
2018-06-13,-23167.5,0.0
2018-06-14,-23167.5,0.0
2018-06-15,-23167.5,0.0
2018-06-18,-23167.5,0.0
2018-06-19,-23167.5,0.0
2018-06-20,-23167.5,0.0
2018-06-21,-23167.5,0.0
2018-06-22,-23167.5,0.0
